method,clust,prop
RETCHER,5,1
RETCHER,5,0.829896298
RETCHER,5,0.853769181
RETCHER,5,0.906928423
RETCHER,5,0.8331864
RETCHER,5,0.984923087
RETCHER,5,0.81134302
RETCHER,5,0.970451479
RETCHER,5,0.892457014
RETCHER,5,0.869019042
RETCHER,5,0.910357587
RETCHER,5,0.920047789
RETCHER,5,0.941888518
RETCHER,5,0.819224905
RETCHER,5,1
RETCHER,5,0.80559745
RETCHER,5,0.798133277
RETCHER,5,0.73523295
RETCHER,5,0.944261458
RETCHER,5,0.887189351
RETCHER,7,0.767468157
RETCHER,7,0.82150523
RETCHER,7,0.964536153
RETCHER,7,0.855080368
RETCHER,7,1
RETCHER,7,0.770980275
RETCHER,7,0.932699271
RETCHER,7,0.683487458
RETCHER,7,0.977570785
RETCHER,7,0.759259606
RETCHER,7,0.768173108
RETCHER,7,0.85575965
RETCHER,7,0.761635227
RETCHER,7,0.852236268
RETCHER,7,0.82070741
RETCHER,7,0.768566711
RETCHER,7,0.879589604
RETCHER,7,0.972571229
RETCHER,7,0.732116267
RETCHER,7,0.882210393
RETCHER,9,0.658381682
RETCHER,9,0.869113979
RETCHER,9,0.799586575
RETCHER,9,0.989951659
RETCHER,9,0.814565235
RETCHER,9,0.798851478
RETCHER,9,0.74298778
RETCHER,9,0.801662008
RETCHER,9,0.703980286
RETCHER,9,0.924622726
RETCHER,9,0.831430413
RETCHER,9,0.847017496
RETCHER,9,0.62913408
RETCHER,9,0.932410595
RETCHER,9,0.890028403
RETCHER,9,0.83737199
RETCHER,9,0.867474557
RETCHER,9,0.742468799
RETCHER,9,0.697678138
RETCHER,9,0.691702245
citup,5,0.673580137
citup,5,0.844403417
citup,5,0.719373149
citup,5,0.82529915
citup,5,0.674483152
citup,5,0.851373423
citup,5,0.749102251
citup,5,0.826427086
citup,5,0.729998767
citup,5,0.66276145
citup,5,0.673587688
citup,5,0.889424124
citup,5,0.754511658
citup,5,0.789255986
citup,5,0.759024798
citup,5,0.665538292
citup,5,0.709049398
citup,5,0.790706462
citup,5,0.729898534
citup,5,0.829518533
citup,7,0.668520185
citup,7,0.696085717
citup,7,0.658785407
citup,7,0.75106949
citup,7,0.571779189
citup,7,0.734769813
citup,7,0.745180708
citup,7,0.78656541
citup,7,0.814446927
citup,7,0.788583665
