method,clustNum,prop
pyclone,7,1
pyclone,7,0.908553134
pyclone,7,0.878748495
pyclone,7,0.979891364
pyclone,7,0.778293711
pyclone,7,0.753822247
pyclone,7,0.638168343
pyclone,9,0.713835692
pyclone,9,0.679480949
pyclone,9,0.825170952
pyclone,9,0.750593295
pyclone,9,0.854662483
pyclone,9,0.792762714
pyclone,9,0.68299286
pyclone,9,0.477127946
pyclone,9,0.510293088
pyclone,9,0.763214895
pyclone,9,0.584070696
pyclone,9,0.49675394
pyclone,9,0.708491193
pyclone,9,0.740449188
pyclone,9,1.047219212
pyclone,9,0.689317193
pyclone,9,0.806314305
pyclone,9,0.629003372
pyclone,9,0.894639443
pyclone,9,0.627933629
sciclone,5,0.777984836
sciclone,5,0.698029198
sciclone,5,0.797198098
sciclone,5,0.719270294
sciclone,5,0.753060672
sciclone,5,0.919626734
sciclone,5,0.673939629
sciclone,5,0.636382701
sciclone,5,0.63116001
sciclone,5,0.692658469
sciclone,5,0.887838992
sciclone,5,0.82854697
sciclone,5,0.849282921
sciclone,5,0.825885355
sciclone,5,0.674375286
sciclone,5,0.696434846
sciclone,5,0.871363866
sciclone,5,0.835673937
sciclone,5,0.773245069
sciclone,5,0.840718606
sciclone,7,0.732575336
sciclone,7,0.863351765
sciclone,7,0.575174172
sciclone,7,0.680381751
sciclone,7,0.817964195
sciclone,7,0.782067729
sciclone,7,0.814909576
sciclone,7,0.693952527
sciclone,7,0.715557461
sciclone,7,0.870179801
sciclone,7,0.80960172
sciclone,7,0.742315284
sciclone,7,0.6135559
sciclone,7,1
sciclone,7,0.611968374
sciclone,7,0.921488535
sciclone,7,0.822803301
sciclone,7,0.837824012
sciclone,7,0.78788001
sciclone,7,0.768579158
sciclone,9,0.745154657
sciclone,9,0.816716363
sciclone,9,0.673742786
sciclone,9,0.492286661
sciclone,9,0.685015745
sciclone,9,0.609905341
sciclone,9,0.754331492
sciclone,9,0.654259848
sciclone,9,0.871864236
sciclone,9,0.620380836
sciclone,9,0.643597382
sciclone,9,0.808969977
sciclone,9,0.679080972
sciclone,9,0.674417464
sciclone,9,0.655069486
sciclone,9,0.798661272
sciclone,9,0.649724407
sciclone,9,0.591991225
sciclone,9,0.655237989
sciclone,9,0.64092414
lichee,5,0.881350574
lichee,5,0.635468141
lichee,5,0.667778407
lichee,5,0.556581256
lichee,5,0.775702543
lichee,5,0.890526768
lichee,5,0.793984422
lichee,5,0.749840479
lichee,5,0.657232587
lichee,5,0.777931303
lichee,5,0.70524219
lichee,5,0.902813231
lichee,5,0.628028147
lichee,5,0.745262919
lichee,5,0.702391789
lichee,5,0.720646955
lichee,5,0.844567098
lichee,5,0.633496167
lichee,5,0.732974978
lichee,5,0.662187353
lichee,7,1
lichee,7,0.794763992
lichee,7,0.817874044
lichee,7,0.924555824
lichee,7,0.772233393
lichee,7,0.763184348
lichee,7,0.796237882
lichee,7,0.964394083
lichee,7,0.769640425
lichee,7,0.900968891
lichee,7,0.911137912
lichee,7,0.841346216
lichee,7,0.796974595
lichee,7,0.893532582
lichee,7,0.73645102
lichee,7,0.795942152
lichee,7,0.817468111
lichee,7,0.940058307
lichee,7,0.81397163
lichee,7,0.89518616
lichee,9,0.733618596
lichee,9,0.646961416
lichee,9,0.790419278
lichee,9,0.751923951
lichee,9,0.591987668
lichee,9,0.780939618
lichee,9,0.502111672
lichee,9,0.640545818
lichee,9,0.564948799
lichee,9,0.495552994
lichee,9,0.437219416
lichee,9,0.649999317
lichee,9,0.554713223
lichee,9,0.774003585
lichee,9,0.52443612
lichee,9,0.70213462
lichee,9,0.781495815
lichee,9,0.593983075
lichee,9,0.577464092
lichee,9,0.446617122
pictograph,5,0.073277835
pictograph,5,0.004589891
pictograph,5,0.073367152
pictograph,5,0.231358136
pictograph,5,0.252634078
pictograph,5,0.136322981
pictograph,5,-0.132472354
pictograph,5,0.107135212
pictograph,5,0.238748467
pictograph,5,0.079530334
pictograph,5,-0.115256181
pictograph,5,0.148973924
pictograph,5,0.147139261
pictograph,5,0.044485042
pictograph,5,0.089206291
pictograph,5,0.025926335
pictograph,5,0.109735335
pictograph,5,0.10631737
pictograph,5,-0.006865649
pictograph,5,-0.049861553
pictograph,7,0.24196114
pictograph,7,0.170857085
pictograph,7,0.356577447
pictograph,7,0.182093845
pictograph,7,0.335429748
pictograph,7,0.335867557
pictograph,7,0.213878106
pictograph,7,0.148441565
pictograph,7,0.366607731
pictograph,7,0.38834228
pictograph,7,0.1904082
pictograph,7,0.167275893
pictograph,7,0.216961838
pictograph,7,0.307919335
pictograph,7,0.273784942
pictograph,7,0.447572657
pictograph,7,0.307766913
pictograph,7,0.204906312
pictograph,7,0.249771771
pictograph,7,0.201754433
pictograph,9,0.629556982
pictograph,9,0.272545909
pictograph,9,0.450971834
pictograph,9,0.472988053
pictograph,9,0.572747484
pictograph,9,0.504037619
pictograph,9,0.370300051
pictograph,9,0.485100031
pictograph,9,0.489629459
pictograph,9,0.633367553
pictograph,9,0.483444258
pictograph,9,0.758684395
pictograph,9,0.585711198
pictograph,9,0.453848862
pictograph,9,0.685702464
pictograph,9,0.409071698
pictograph,9,0.579980652
pictograph,9,0.677508465
pictograph,9,0.616883777
pictograph,9,NA
citup,5,NA
citup,7,NA
citup,9,NA
clonevol,5,NA
clonevol,7,NA
clonevol,9,NA
