method,clust,prop
RETCHER,5,0.946554243
RETCHER,5,0.961551131
RETCHER,5,0.839428946
RETCHER,5,0.950657503
RETCHER,5,0.976400149
RETCHER,5,0.858990902
RETCHER,5,0.858990902
RETCHER,5,0.852392714
RETCHER,5,0.915695149
RETCHER,5,0.803480464
RETCHER,5,0.826324057
RETCHER,5,0.699210617
RETCHER,5,0.815969922
RETCHER,5,1
RETCHER,5,0.781791223
RETCHER,5,0.950633827
RETCHER,5,1
RETCHER,5,0.824184356
RETCHER,5,0.896644745
RETCHER,5,0.847895009
RETCHER,7,0.852869648
RETCHER,7,0.830503401
RETCHER,7,0.769509476
RETCHER,7,0.833737237
RETCHER,7,0.906141735
RETCHER,7,0.883450869
RETCHER,7,0.788609254
RETCHER,7,0.674300411
RETCHER,7,0.807597439
RETCHER,7,0.918797149
RETCHER,7,0.82003254
RETCHER,7,0.98014821
RETCHER,7,0.850148599
RETCHER,7,0.921604915
RETCHER,7,0.92187377
RETCHER,7,0.848858455
RETCHER,7,0.765091973
RETCHER,7,0.739064136
RETCHER,7,0.806819146
RETCHER,7,0.611901539
RETCHER,9,0.735220119
RETCHER,9,0.750565553
RETCHER,9,0.762228243
RETCHER,9,0.952945459
RETCHER,9,0.78025006
RETCHER,9,0.73034123
RETCHER,9,0.77607049
RETCHER,9,0.878376404
RETCHER,9,0.802897082
RETCHER,9,0.780432878
RETCHER,9,0.82903015
RETCHER,9,0.949119495
RETCHER,9,0.731062285
RETCHER,9,0.645529413
RETCHER,9,0.710339022
RETCHER,9,0.728598439
RETCHER,9,0.96142928
RETCHER,9,0.815234237
RETCHER,9,0.886974905
RETCHER,9,0.957564623
citup,5,0.74897291
citup,5,0.77525879
citup,5,0.650333209
citup,5,0.753443108
citup,5,0.666121776
citup,5,0.678892623
citup,5,0.753500702
citup,5,0.723986125
citup,5,0.817339301
citup,5,0.762499479
citup,5,0.766423096
citup,5,0.710666468
citup,5,0.806480222
citup,5,0.6274727
citup,5,0.811303718
citup,5,0.885512352
citup,5,0.767810466
citup,5,0.79612881
citup,5,0.722949301
citup,5,0.790836217
citup,7,0.755832523
citup,7,0.728667008
citup,7,0.702078843
citup,7,0.728209943
citup,7,0.740707319
citup,7,0.714201196
citup,7,0.813036382
citup,7,0.720756521
citup,7,0.607259967
citup,7,0.719246908
citup,7,0.789521135
citup,7,0.68484584
citup,7,0.561629927
citup,7,0.732020514
citup,7,0.688614207
citup,7,0.630355463
citup,7,0.692836995
citup,7,0.667977999
citup,7,0.640215783
citup,7,0.660205027
citup,9,0.692206027
citup,9,0.610830533
citup,9,0.523163507
citup,9,0.623020513
citup,9,0.794281198
citup,9,0.613998818
citup,9,0.76656293
citup,9,0.711279369
citup,9,0.614755843
citup,9,0.619088571
citup,9,0.737595625
citup,9,0.559803687
citup,9,0.656554829
citup,9,0.799459384
citup,9,0.568455685
citup,9,0.589672624
citup,9,0.617945286
citup,9,0.727541236
citup,9,0.642875668
citup,9,0.650714513
clonevol,5,0.643802503
clonevol,5,0.681542147
clonevol,5,0.835512349
clonevol,5,0.881844687
clonevol,5,0.845405222
clonevol,5,0.840340818
clonevol,5,0.71367449
clonevol,5,0.897077037
clonevol,5,0.733417501
clonevol,5,0.877456638
clonevol,5,0.682329708
clonevol,5,0.660607074
clonevol,5,0.963288177
clonevol,5,0.829050921
clonevol,5,0.625652457
clonevol,5,0.598853303
clonevol,5,0.840468327
clonevol,5,0.72593729
clonevol,5,0.841507394
clonevol,5,0.721331131
clonevol,7,0.831474698
clonevol,7,0.712134239
clonevol,7,0.727908042
clonevol,7,0.855194926
clonevol,7,0.591227956
clonevol,7,0.680120835
clonevol,7,0.737433246
clonevol,7,0.80549913
clonevol,7,0.873472386
clonevol,7,0.746862969
clonevol,7,0.710342994
clonevol,7,0.609512576
clonevol,7,0.771703792
clonevol,7,0.838312215
clonevol,7,0.831772568
clonevol,7,0.798245449
clonevol,7,0.740250559
clonevol,7,0.702360757
clonevol,7,0.711842141
clonevol,7,0.720834657
clonevol,9,0.540684117
clonevol,9,0.716673928
clonevol,9,0.786991427
clonevol,9,0.845475783
clonevol,9,0.717720226
clonevol,9,0.574277528
clonevol,9,0.607820447
clonevol,9,0.643067529
clonevol,9,0.794829961
clonevol,9,0.642722357
clonevol,9,0.712234885
clonevol,9,0.686148113
clonevol,9,0.613811068
clonevol,9,0.660153913
clonevol,9,0.83308201
clonevol,9,0.61082535
clonevol,9,0.67970425
clonevol,9,0.795119436
clonevol,9,0.604510423
clonevol,9,0.655489135
lichee,5,0.579306394
lichee,5,0.542754755
lichee,5,0.618837805
lichee,5,0.649923843
lichee,5,0.595392468
lichee,5,0.510178931
lichee,5,0.566355548
lichee,5,0.654438558
lichee,5,0.722538007
lichee,5,0.716971337
lichee,5,0.518468454
lichee,5,0.689725004
lichee,5,0.708053386
lichee,5,0.621269714
lichee,5,0.711535699
lichee,5,0.65687689
lichee,5,0.618068303
lichee,5,0.726580191
lichee,5,0.724708322
lichee,5,0.593134863
lichee,7,0.57616228
lichee,7,0.634484117
lichee,7,0.764141202
lichee,7,0.579149676
lichee,7,0.561947255
lichee,7,0.728632031
lichee,7,0.544394931
lichee,7,0.690553604
lichee,7,0.556567123
lichee,7,0.552353553
lichee,7,0.636241626
lichee,7,0.738707693
lichee,7,0.519673465
lichee,7,0.707493621
