method,clust,prop
lichee,9,0.596650777
lichee,9,0.31221061
lichee,9,0.404966604
lichee,9,0.41804022
lichee,9,0.521562381
lichee,9,0.51395462
lichee,9,0.264207122
lichee,9,0.497521008
lichee,9,0.641764384
lichee,9,0.620490812
lichee,9,0.297521745
lichee,9,0.292588946
lichee,9,0.663806562
lichee,9,0.553330962
lichee,9,0.554170552
lichee,9,0.241565468
lichee,9,0.548992547
pictograph,5,0.506795556
pictograph,5,0.320493899
pictograph,5,0.40837888
pictograph,5,0.395334775
pictograph,5,0.194150884
pictograph,5,0.352801072
pictograph,5,0.293732454
pictograph,5,0.232137597
pictograph,5,0.289785293
pictograph,5,0.34344665
pictograph,5,0.289780345
pictograph,5,0.225548463
pictograph,5,0.191681551
pictograph,5,0.360746381
pictograph,5,0.203981758
pictograph,5,0.313279146
pictograph,5,0.317929648
pictograph,5,0.416256248
pictograph,5,0.312412147
pictograph,5,0.421790063
pictograph,7,0.395140313
pictograph,7,0.200987312
pictograph,7,0.237159115
pictograph,7,0.272329108
pictograph,7,0.464629423
pictograph,7,0.306699739
pictograph,7,0.414035412
pictograph,7,0.404344853
pictograph,7,0.353828012
pictograph,7,0.367177415
pictograph,7,0.367466899
pictograph,7,0.492177601
pictograph,7,0.343233009
pictograph,7,0.349205149
pictograph,7,0.263493969
pictograph,7,0.270841953
pictograph,7,0.192073791
pictograph,7,0.338640398
pictograph,7,0.354972217
pictograph,7,0.276232473
pictograph,9,0.37126031
pictograph,9,0.41644453
pictograph,9,0.409830108
pictograph,9,0.290308119
pictograph,9,0.418762228
pictograph,9,0.546721019
pictograph,9,0.446245103
pictograph,9,0.326924366
pictograph,9,0.408921656
pictograph,9,0.349408753
pictograph,9,0.169183697
pictograph,9,0.368865288
pictograph,9,0.285148836
pictograph,9,0.394193979
pictograph,9,0.421404933
pictograph,9,0.282051721
pictograph,9,0.408664454
pictograph,9,0.387451767
pictograph,9,0.291862448
pictograph,9,0.38834485
