method,clustNum,prop
RETCHER,5,0.861750956
RETCHER,5,0.807521602
RETCHER,5,0.645766741
RETCHER,5,0.920645263
RETCHER,5,0.789658373
RETCHER,5,0.905343647
RETCHER,5,0.677535784
RETCHER,5,1
RETCHER,5,0.9641683
RETCHER,5,0.884633127
RETCHER,5,0.730775516
RETCHER,5,0.954140863
RETCHER,5,0.932666628
RETCHER,5,0.952774456
RETCHER,5,0.683876058
RETCHER,5,0.815665902
RETCHER,5,0.762329609
RETCHER,5,0.866713464
RETCHER,5,0.770742112
RETCHER,5,0.891224075
RETCHER,7,0.927447537
RETCHER,7,0.838503346
RETCHER,7,0.760573945
RETCHER,7,0.883583643
RETCHER,7,0.880740821
RETCHER,7,0.748803575
RETCHER,7,0.835262904
RETCHER,7,0.785874611
RETCHER,7,0.774766946
RETCHER,7,1
RETCHER,7,0.858729092
RETCHER,7,0.828042468
RETCHER,7,0.886541933
RETCHER,7,0.966534794
RETCHER,7,0.901998322
RETCHER,7,0.730265897
RETCHER,7,0.737510881
RETCHER,7,0.667520186
RETCHER,7,0.869672664
RETCHER,7,0.735988917
RETCHER,9,0.587854665
RETCHER,9,0.815090544
RETCHER,9,0.727959167
RETCHER,9,0.648327135
RETCHER,9,0.848002126
RETCHER,9,0.663361833
RETCHER,9,0.846536546
RETCHER,9,0.723647455
RETCHER,9,0.89402051
RETCHER,9,0.712330968
RETCHER,9,0.545610772
RETCHER,9,0.789397617
RETCHER,9,0.83630278
RETCHER,9,0.654651675
RETCHER,9,0.758943139
RETCHER,9,0.515723796
RETCHER,9,0.611769551
RETCHER,9,0.671996429
RETCHER,9,0.685032448
RETCHER,9,0.697989266
pyclone,5,0.85888436
pyclone,5,0.79995786
pyclone,5,0.746289272
pyclone,5,0.908654715
pyclone,5,0.82432752
pyclone,5,0.843103302
pyclone,5,0.838512
pyclone,5,0.733495492
pyclone,5,0.848631642
pyclone,5,0.923626361
pyclone,5,0.924143336
pyclone,5,0.810089591
pyclone,5,0.840744261
pyclone,5,0.874164755
pyclone,5,0.784611659
pyclone,5,0.727080602
pyclone,5,0.747291681
pyclone,5,0.792154759
pyclone,5,0.776474636
pyclone,5,0.841726493
pyclone,7,0.697648031
pyclone,7,0.905087245
pyclone,7,0.975057855
pyclone,7,0.707513633
pyclone,7,0.861208613
pyclone,7,0.800346133
pyclone,7,0.7581874
pyclone,7,0.731308515
pyclone,7,0.732181781
pyclone,7,0.863258608
pyclone,7,0.837243841
pyclone,7,0.769928187
pyclone,7,0.678096423
pyclone,7,0.806654733
pyclone,7,0.928500363
pyclone,7,0.782487037
pyclone,7,0.931573672
pyclone,7,0.9535992
pyclone,7,0.873443571
pyclone,7,0.674709366
pyclone,9,0.720718876
pyclone,9,0.621777555
pyclone,9,0.570839208
pyclone,9,0.668568018
pyclone,9,0.767957958
pyclone,9,0.485550903
pyclone,9,0.518981606
pyclone,9,0.577878789
pyclone,9,0.617283869
pyclone,9,0.681823427
pyclone,9,0.896445519
pyclone,9,0.771108066
pyclone,9,0.792403615
pyclone,9,0.754204841
pyclone,9,0.607110855
pyclone,9,0.86982377
pyclone,9,0.669487925
pyclone,9,0.702048949
pyclone,9,0.84481517
pyclone,9,0.534627502
sciclone,5,0.849907027
sciclone,5,0.818243465
sciclone,5,0.905012651
sciclone,5,0.838793802
sciclone,5,0.750182626
sciclone,5,0.637575986
sciclone,5,0.88833239
sciclone,5,0.892402862
sciclone,5,0.786839926
sciclone,5,0.784891634
sciclone,5,0.812694259
sciclone,5,0.872286709
sciclone,5,0.78548023
sciclone,5,0.826963655
sciclone,5,0.766876136
sciclone,5,0.770138101
sciclone,5,0.826518556
sciclone,5,0.725763295
sciclone,5,0.911449282
sciclone,5,1
sciclone,7,0.812461493
sciclone,7,0.651928997
sciclone,7,0.67617683
sciclone,7,0.763891498
sciclone,7,0.74462741
sciclone,7,0.905028831
sciclone,7,0.79219571
sciclone,7,0.791121301
sciclone,7,0.501791432
sciclone,7,0.755430894
sciclone,7,0.731597217
sciclone,7,0.852884737
sciclone,7,0.728831815
sciclone,7,0.605300758
sciclone,7,0.769846547
sciclone,7,0.944320482
sciclone,7,0.955855313
sciclone,7,0.724831878
sciclone,7,0.779467348
sciclone,7,0.73405764
sciclone,9,0.733015466
sciclone,9,0.696191242
sciclone,9,0.605076397
sciclone,9,0.540174953
sciclone,9,0.644133229
sciclone,9,0.760020735
sciclone,9,0.640044845
sciclone,9,0.619739622
sciclone,9,0.90992429
sciclone,9,0.821909402
sciclone,9,0.630793012
sciclone,9,0.608296422
sciclone,9,0.599538672
sciclone,9,0.741525909
sciclone,9,0.583581636
sciclone,9,0.666438335
sciclone,9,0.755174081
sciclone,9,0.60702007
sciclone,9,0.730532576
sciclone,9,0.74466125
lichee,5,0.837763676
lichee,5,1
lichee,5,0.801561183
lichee,5,0.873733202
lichee,5,0.841909649
lichee,5,0.950333864
lichee,5,0.871528426
lichee,5,0.893450646
lichee,5,0.874270297
lichee,5,0.755868871
lichee,5,0.72375031
lichee,5,0.688001281
lichee,5,0.909509109
lichee,5,0.779063954
lichee,5,0.984312911
lichee,5,0.746490792
lichee,5,0.646195456
lichee,5,0.749602295
lichee,5,0.96410755
lichee,5,0.896036876
lichee,7,0.727060266
lichee,7,0.649236308
lichee,7,0.618248164
lichee,7,0.811870196
lichee,7,0.749054479
lichee,7,0.649020178
lichee,7,0.709061655
lichee,7,0.628287388
lichee,7,0.770939012
lichee,7,0.873511222
lichee,7,0.62608706
lichee,7,0.723469601
lichee,7,0.767094162
lichee,7,0.623387112
lichee,7,0.705382208
lichee,7,0.813318099
lichee,7,0.622637726
lichee,7,0.623385637
lichee,7,0.61490514
lichee,7,0.592959083
lichee,9,0.567521319
lichee,9,0.439309752
lichee,9,0.522741236
lichee,9,0.414039862
lichee,9,0.689801711
lichee,9,0.430536455
lichee,9,0.629837198
lichee,9,0.490932382
lichee,9,0.489585497
lichee,9,0.791173796
lichee,9,0.608829875
lichee,9,0.687486121
lichee,9,0.507004282
lichee,9,0.351845065
lichee,9,0.604349208
lichee,9,0.441131233
lichee,9,0.566813092
lichee,9,0.425631394
lichee,9,0.464517988
lichee,9,0.41115743
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,5,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,7,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,0
pictograph,9,NA
citup,5,NA
citup,7,NA
citup,9,NA
clonevol,5,NA
clonevol,7,NA
clonevol,9,NA
